frame_number,Team A_width_m,Team A_depth_m,Team B_width_m,Team B_depth_m
59,18.06,4.1,27.66,11.03
60,0.0,0.0,27.86,10.99
61,0.0,0.0,27.88,10.95
62,0.0,0.0,28.28,10.91
63,0.0,0.0,20.07,10.85
64,0.0,0.0,26.93,10.85
65,0.0,0.0,26.94,10.88
66,0.0,0.0,27.09,10.87
67,0.0,0.0,27.41,10.87
68,0.0,0.0,27.72,10.93
69,0.0,0.0,28.07,11.01
70,18.45,8.16,28.31,16.53
71,18.56,8.28,28.45,16.72
72,18.66,8.35,28.43,16.71
73,0.0,0.0,28.19,16.73
74,0.0,0.0,28.1,16.69
75,0.0,0.0,28.02,19.96
76,18.51,21.67,28.04,16.3
77,18.22,21.57,28.04,16.17
78,18.37,21.67,28.19,16.02
79,18.06,21.5,28.16,15.82
80,18.22,21.52,28.1,15.61
81,18.67,21.69,28.15,15.41
82,18.77,21.7,28.3,15.16
83,18.71,21.67,28.33,14.95
84,18.63,21.63,28.32,14.73
85,21.0,21.68,28.6,14.55
86,21.06,21.69,28.71,14.45
87,20.94,21.65,28.81,14.26
88,20.89,21.59,28.98,13.91
89,20.76,21.49,29.1,13.58
90,20.56,21.4,29.19,24.57
91,20.54,21.38,28.97,24.45
92,28.65,21.29,22.42,24.29
93,28.5,21.25,26.21,24.17
94,28.18,21.09,26.53,24.09
95,27.89,21.01,22.26,24.06
96,27.71,20.96,26.85,24.06
97,20.07,20.92,28.08,24.16
98,19.91,20.87,28.0,24.29
99,27.46,20.81,27.52,24.4
100,27.52,20.75,27.82,11.63
101,27.34,20.79,27.91,24.47
102,27.39,20.85,27.81,24.67
103,27.41,20.9,22.12,24.8
104,21.93,20.94,22.13,24.88
105,22.0,21.04,22.12,24.99
106,22.01,21.13,22.22,25.17
107,22.08,21.14,22.34,25.39
108,22.51,21.15,22.33,25.48
109,22.69,21.17,22.4,25.66
110,22.62,21.25,22.5,25.83
111,22.47,21.29,22.63,26.04
112,22.37,21.31,22.78,26.28
113,22.33,21.44,30.14,35.06
114,22.18,21.56,30.26,35.36
115,21.71,21.61,30.25,35.63
116,22.2,21.67,30.53,35.78
117,22.0,21.74,30.78,36.0
118,21.81,21.86,30.76,36.19
119,21.82,21.96,30.84,38.36
120,21.69,22.03,31.21,38.47
121,21.82,22.08,31.56,38.68
122,21.87,22.06,31.83,21.86
123,21.76,22.02,31.78,21.74
124,21.72,22.0,31.95,21.54
125,22.01,22.09,32.19,21.3
126,22.0,22.19,32.44,21.09
127,22.02,22.25,32.67,20.89
128,27.74,22.22,32.99,20.8
129,27.93,22.13,33.25,20.73
130,28.1,25.79,33.56,20.66
131,28.47,25.89,33.73,20.58
132,20.58,26.0,34.01,20.47
133,20.56,26.0,34.22,20.45
134,20.46,25.93,34.48,18.77
135,20.41,25.82,34.65,18.6
136,20.36,25.71,34.68,18.48
137,20.33,25.59,34.83,18.44
138,20.19,25.47,35.08,19.61
139,20.2,25.5,35.47,19.63
140,29.51,25.51,35.92,19.63
141,29.71,25.5,36.16,19.6
142,29.35,25.45,36.28,20.18
143,29.0,25.44,36.45,20.18
144,28.47,25.47,36.53,20.21
145,28.33,25.49,36.74,20.23
146,28.63,25.47,37.35,20.31
147,28.78,25.48,37.7,19.35
148,28.89,25.48,38.18,20.52
149,29.51,25.51,38.32,20.54
150,29.42,25.46,35.35,20.51
151,29.11,25.4,35.5,24.1
152,28.81,25.35,35.77,24.17
153,28.62,27.26,36.04,20.76
154,29.21,25.32,38.45,24.27
155,29.29,25.48,38.61,24.25
156,29.2,25.59,38.76,24.22
157,29.19,25.65,39.01,24.26
158,29.14,25.65,39.07,24.68
159,29.2,25.7,39.18,24.49
160,29.01,25.78,39.4,24.25
161,28.87,25.87,39.84,23.95
162,28.96,23.84,40.26,24.09
163,28.93,24.94,38.95,24.11
164,28.88,23.89,40.74,23.89
165,28.96,17.8,40.94,23.7
166,29.21,18.0,40.93,23.62
167,29.42,20.29,41.16,23.63
168,29.28,20.35,41.27,23.51
169,28.93,20.23,41.75,23.36
170,28.86,20.08,42.2,23.35
171,29.16,19.86,42.55,23.44
172,29.33,18.84,42.37,23.48
173,29.55,18.18,42.28,23.51
174,29.74,17.96,42.44,23.55
175,29.86,17.97,43.25,23.73
176,29.78,18.05,43.52,23.95
177,29.72,13.75,43.63,24.06
178,29.93,22.89,44.12,24.17
179,30.16,23.26,44.9,24.26
180,30.11,14.11,45.68,24.36
181,30.52,14.32,45.5,24.73
182,31.1,14.44,45.56,24.81
183,31.43,14.5,45.7,25.08
184,31.47,14.51,45.58,25.58
185,31.2,14.59,45.51,25.8
186,31.3,14.71,45.66,26.22
187,31.77,14.92,45.02,26.57
188,32.03,15.1,44.83,26.65
189,32.2,15.12,45.91,26.71
190,32.65,15.05,46.81,26.88
191,33.08,14.94,46.93,27.11
192,33.27,14.97,47.34,27.32
193,32.83,23.8,47.87,26.53
194,32.8,24.15,48.41,26.65
195,33.19,24.45,48.09,26.81
196,33.58,24.74,48.68,27.05
197,33.64,24.85,48.31,27.29
198,33.77,24.87,48.32,27.48
199,33.93,25.02,48.85,27.58
200,33.99,25.27,49.16,27.71
201,33.95,25.49,49.23,27.88
202,34.21,25.78,49.66,28.05
203,34.21,26.18,49.87,28.29
204,34.77,26.5,50.33,28.6
205,34.85,26.63,50.87,28.7
206,35.35,16.84,51.41,28.73
207,36.11,24.77,51.31,28.82
208,36.54,25.07,51.54,28.95
209,36.78,25.51,51.65,29.37
210,36.6,25.73,52.0,29.58
211,35.69,25.78,52.59,29.7
212,14.64,15.71,52.98,29.74
213,14.73,15.62,41.56,29.91
214,36.33,27.57,41.46,29.98
215,36.55,28.4,41.28,30.25
216,36.74,28.73,41.43,30.47
217,36.75,28.8,41.78,30.61
218,36.73,29.04,41.71,30.79
219,36.84,29.08,41.65,30.82
220,36.98,29.14,41.6,30.89
221,37.01,29.36,41.75,31.1
222,36.84,19.83,41.02,31.24
223,36.94,29.67,40.72,31.43
224,37.2,29.82,40.16,31.47
225,37.06,19.95,39.84,31.5
226,36.78,29.96,39.76,31.71
227,37.18,30.08,39.99,36.13
228,37.38,20.55,40.91,36.51
229,37.87,30.42,44.46,36.66
230,38.2,30.49,41.12,36.86
231,38.37,21.45,41.07,36.86
232,38.34,21.58,41.2,37.06
233,37.77,21.76,41.2,37.23
234,37.38,30.99,41.05,37.25
235,37.79,31.12,40.83,37.39
236,38.3,31.28,41.11,37.59
237,38.72,31.54,41.33,38.04
238,39.0,31.74,37.14,38.2
239,39.27,32.01,36.97,34.86
240,39.43,32.19,41.41,34.83
241,39.31,32.31,43.84,34.89
242,39.4,32.36,43.69,34.96
243,39.79,36.87,43.61,35.14
244,40.14,36.99,43.1,35.21
245,40.21,37.06,43.08,35.28
246,40.27,37.26,42.95,35.28
247,40.4,37.48,42.74,33.56
248,36.38,37.62,44.87,33.68
249,36.67,40.43,44.64,30.44
250,36.71,40.61,44.83,30.67
251,36.98,40.88,44.99,30.45
252,36.94,40.89,45.2,30.5
253,36.72,40.89,45.6,31.44
254,36.79,40.9,45.6,31.46
255,36.95,40.81,45.63,31.48
256,41.37,40.8,42.93,31.55
257,36.91,40.85,42.88,36.26
258,41.65,40.72,42.61,36.5
259,41.91,40.77,42.29,36.59
260,42.1,40.8,41.99,36.63
261,25.45,40.84,41.83,36.53
262,25.41,40.86,41.76,36.52
263,25.13,40.79,41.67,36.44
264,24.59,40.7,41.71,36.44
265,24.21,40.49,41.77,36.53
266,24.37,40.36,41.81,36.48
267,24.58,37.5,41.94,36.44
268,24.97,37.5,42.07,36.37
269,25.35,37.45,42.26,33.8
270,25.27,37.54,42.08,36.34
271,24.93,37.61,42.13,33.64
272,24.72,37.56,41.7,33.87
273,24.81,37.54,41.85,33.8
274,24.94,37.49,42.06,36.09
275,25.03,37.48,42.41,35.92
276,25.38,37.43,42.79,35.9
277,25.58,37.38,42.85,35.9
278,25.77,37.33,43.14,35.73
279,25.48,37.33,43.34,35.59
280,24.76,37.28,43.02,35.53
281,24.8,37.15,42.56,35.39
282,25.06,37.02,42.84,32.97
283,25.54,29.38,43.14,33.14
284,25.89,29.46,43.32,33.26
285,26.32,29.53,43.72,33.29
286,26.42,29.6,44.06,33.33
287,26.47,29.58,44.22,33.39
288,40.93,29.64,44.41,33.44
289,41.09,29.75,44.46,33.55
290,41.3,29.89,44.22,33.67
291,41.33,29.95,44.22,33.76
292,37.02,18.88,45.69,33.84
293,36.88,18.76,45.77,34.0
294,36.77,18.6,46.0,28.75
295,36.7,18.55,46.48,28.87
296,36.59,18.47,35.98,28.95
297,36.5,18.38,46.3,29.11
298,36.51,18.35,46.43,29.32
299,36.69,18.35,36.45,29.43
300,36.98,18.38,36.55,29.5
301,37.13,18.37,36.86,29.69
302,36.98,18.36,46.53,29.89
303,37.03,18.35,37.36,30.11
304,37.06,18.31,37.28,30.28
305,37.02,18.28,37.5,30.5
306,37.01,18.14,37.82,30.7
307,37.02,18.07,37.82,30.88
308,36.95,18.03,38.01,31.16
309,36.75,18.01,37.89,31.3
310,36.71,17.93,37.72,31.48
311,36.47,17.85,37.79,31.69
312,36.37,17.83,37.74,31.94
313,36.4,17.79,37.5,32.12
314,36.37,17.74,37.29,32.31
315,36.28,17.72,37.41,32.56
316,26.81,16.68,41.74,32.79
317,28.46,16.74,41.67,32.94
318,29.83,16.86,41.44,33.13
319,30.17,16.92,41.4,33.23
320,30.33,16.92,41.53,33.35
321,30.76,16.91,41.57,27.47
322,29.83,16.86,41.72,27.46
323,29.24,16.83,42.07,27.48
324,28.71,16.8,52.29,27.44
325,28.53,16.82,42.5,27.37
326,28.12,16.91,42.19,27.33
327,28.39,16.94,42.06,27.29
328,28.6,16.93,42.05,27.26
329,29.16,16.94,41.82,27.14
330,28.85,16.96,41.72,27.11
331,28.16,16.96,41.64,27.05
332,27.94,16.93,41.51,27.04
333,27.9,16.85,41.6,27.04
334,0.0,0.0,41.47,27.01
335,0.0,0.0,41.38,26.95
336,0.0,0.0,41.24,26.93
337,0.0,0.0,41.05,26.87
338,0.0,0.0,41.0,26.83
339,0.0,0.0,40.78,26.81
340,0.0,0.0,48.02,26.8
341,33.76,16.21,47.83,26.76
342,0.0,0.0,47.17,26.69
343,0.0,0.0,46.84,26.61
344,0.0,0.0,46.57,26.57
345,0.0,0.0,46.26,26.51
346,0.0,0.0,46.07,26.46
347,0.0,0.0,46.08,26.44
348,0.0,0.0,46.13,26.4
349,0.0,0.0,46.05,26.38
350,0.0,0.0,53.81,26.33
351,0.0,0.0,53.78,26.24
352,0.0,0.0,53.87,26.22
353,0.0,0.0,52.97,26.22
354,0.0,0.0,53.0,26.11
355,0.0,0.0,53.21,26.03
356,0.0,0.0,53.2,25.99
357,0.0,0.0,45.59,25.91
358,0.0,0.0,45.58,25.88
359,0.0,0.0,45.59,25.89
360,0.0,0.0,52.88,25.94
361,0.0,0.0,52.5,26.23
362,0.0,0.0,52.45,26.42
363,0.0,0.0,52.56,26.55
364,0.0,0.0,52.89,26.69
365,0.0,0.0,52.94,26.78
366,0.0,0.0,53.1,26.84
367,0.0,0.0,53.59,26.91
368,0.0,0.0,54.0,26.99
369,0.0,0.0,53.5,27.13
370,0.0,0.0,53.36,27.27
371,0.0,0.0,52.89,27.36
372,0.0,0.0,52.83,27.45
373,0.0,0.0,52.62,27.58
374,0.0,0.0,52.63,27.7
375,0.0,0.0,52.48,27.81
376,0.0,0.0,52.67,27.9
377,30.67,13.81,52.68,28.0
378,30.7,13.76,52.69,28.02
379,30.71,13.7,52.52,28.04
380,30.81,13.65,52.08,28.08
381,30.86,13.58,51.85,28.07
382,30.85,13.51,51.73,28.06
383,30.76,13.42,51.67,28.07
384,30.74,13.32,51.61,28.05
385,30.64,13.25,51.52,28.06
386,30.47,13.18,51.48,28.07
387,30.28,13.14,44.91,26.68
388,30.17,13.07,51.77,28.16
389,30.16,12.98,51.73,28.21
390,30.06,12.92,51.33,28.24
391,29.99,12.86,51.08,28.25
392,30.04,12.77,50.95,28.31
393,30.05,12.67,50.8,28.37
394,30.17,12.57,50.57,28.35
395,30.36,12.48,50.41,28.31
396,30.41,12.4,50.44,28.31
397,30.48,12.36,50.42,28.34
398,30.56,12.32,50.38,28.36
399,30.68,12.29,44.14,27.0
400,30.73,12.28,43.89,26.98
401,30.8,12.24,43.69,26.98
402,30.83,12.24,50.21,28.51
403,30.82,12.21,50.14,28.64
404,30.79,12.14,50.19,28.78
405,30.82,12.1,50.09,28.89
406,30.75,12.07,50.09,28.94
407,30.73,12.03,43.33,27.27
408,30.79,11.99,49.94,28.99
409,30.93,11.95,49.94,29.09
410,30.96,11.92,49.97,29.21
411,31.09,11.86,43.82,27.53
412,0.0,0.0,44.02,27.58
413,0.0,0.0,44.26,27.61
414,0.0,0.0,34.7,27.59
415,0.0,0.0,44.39,27.53
416,0.0,0.0,44.45,27.54
417,0.0,0.0,44.48,27.51
418,0.0,0.0,44.38,27.45
419,0.0,0.0,44.37,27.44
420,0.0,0.0,44.34,27.32
421,0.0,0.0,44.36,27.3
422,0.0,0.0,44.44,27.2
423,0.0,0.0,44.81,27.13
424,0.0,0.0,44.6,27.09
425,0.0,0.0,44.51,27.07
426,0.0,0.0,44.43,27.04
427,0.0,0.0,49.8,30.58
428,0.0,0.0,49.94,30.57
429,0.0,0.0,49.63,30.6
430,0.0,0.0,49.83,30.62
431,0.0,0.0,49.8,30.56
432,0.0,0.0,49.72,30.54
433,0.0,0.0,49.58,30.45
434,0.0,0.0,49.31,30.4
435,0.0,0.0,49.38,30.21
436,0.0,0.0,49.09,30.12
437,0.0,0.0,48.67,30.06
438,0.0,0.0,48.67,30.07
439,0.0,0.0,48.53,30.06
440,0.0,0.0,44.36,25.42
441,0.0,0.0,44.17,25.36
442,0.0,0.0,48.58,30.2
443,0.0,0.0,48.92,30.29
444,0.0,0.0,48.91,30.32
445,0.0,0.0,48.51,30.25
446,0.0,0.0,48.47,30.26
447,0.0,0.0,48.57,30.36
448,0.0,0.0,48.53,30.45
449,0.0,0.0,42.41,30.46
450,0.0,0.0,42.17,30.48
451,0.0,0.0,42.3,30.54
452,0.0,0.0,42.42,30.62
453,0.0,0.0,42.56,30.71
454,0.0,0.0,42.41,30.75
455,0.0,0.0,42.35,30.8
456,0.0,0.0,42.23,30.83
457,0.0,0.0,42.22,30.83
458,0.0,0.0,38.37,26.13
459,0.0,0.0,38.42,26.17
460,0.0,0.0,38.41,26.2
461,0.0,0.0,38.45,26.24
462,0.0,0.0,38.56,26.35
463,0.0,0.0,38.53,26.43
464,0.0,0.0,38.89,26.57
465,0.0,0.0,39.14,26.73
466,0.0,0.0,30.1,26.84
467,0.0,0.0,30.23,26.87
468,0.0,0.0,30.42,26.84
469,0.0,0.0,30.54,26.18
470,24.72,13.15,30.56,26.76
471,24.77,13.12,30.65,27.04
472,24.8,13.08,30.66,27.2
473,24.45,13.04,30.59,27.27
474,24.13,13.05,30.42,27.3
475,23.93,23.05,30.42,27.36
476,23.84,23.14,30.42,27.42
477,23.72,23.24,30.3,27.45
478,23.71,23.26,30.31,27.53
479,23.71,23.27,37.55,27.6
480,23.62,23.29,30.18,27.67
481,23.55,23.38,30.0,27.77
482,23.48,23.56,29.99,27.93
483,23.31,23.75,37.66,28.01
484,23.14,23.86,37.84,28.1
485,22.99,23.95,38.3,28.16
486,23.07,24.25,30.61,21.57
487,23.16,24.37,30.66,28.58
488,23.05,24.45,37.25,28.2
489,22.93,24.54,37.42,28.53
490,22.83,24.8,37.87,28.67
491,22.76,25.02,36.78,28.79
492,22.66,25.18,36.57,28.96
493,22.65,25.41,36.6,29.11
494,22.77,25.54,36.68,29.21
495,22.99,25.59,36.7,29.4
496,32.93,25.71,28.96,29.52
497,32.99,25.81,35.35,32.22
498,32.99,25.98,35.46,32.24
499,32.99,26.16,28.91,29.69
500,33.11,26.2,29.05,29.68
501,33.14,26.21,28.98,29.8
502,33.13,26.24,29.03,29.9
503,33.0,26.28,29.07,30.08
504,33.03,26.33,29.09,30.09
505,33.17,26.37,28.85,30.12
506,33.3,26.47,28.66,30.11
507,33.39,26.59,28.57,30.06
508,33.54,26.6,28.39,29.95
509,33.53,26.51,28.33,29.8
510,33.45,26.42,28.34,29.74
511,33.33,26.35,28.28,29.79
512,33.27,26.32,28.2,29.79
513,33.31,26.36,28.04,29.82
514,33.29,26.45,27.82,25.45
515,33.19,26.51,27.68,29.83
516,31.42,26.43,27.62,29.75
517,31.98,26.3,27.54,29.55
518,32.67,26.18,27.37,29.48
519,32.93,26.06,27.43,29.46
520,33.09,26.07,27.39,29.43
521,33.29,26.02,27.16,29.41
522,33.23,26.04,27.07,29.44
523,33.23,26.05,27.01,29.39
524,33.31,26.07,27.05,29.44
525,33.4,25.99,27.1,29.36
526,33.44,25.84,27.04,29.21
527,33.38,25.68,27.02,29.08
528,33.25,25.61,26.95,29.0
529,33.14,25.58,26.77,29.04
530,33.06,25.67,26.93,29.06
531,33.08,25.72,26.99,29.01
532,33.15,25.73,26.86,28.93
533,33.31,25.63,26.75,28.91
534,33.46,25.5,26.74,28.88
535,33.4,25.38,26.68,28.83
536,33.34,25.28,27.02,28.72
537,33.2,25.2,27.26,28.71
538,33.16,25.11,27.53,28.73
539,33.0,25.11,27.24,28.73
540,33.01,25.15,26.9,28.82
541,33.08,25.17,26.72,28.84
542,33.16,25.17,26.47,28.77
543,33.1,21.61,26.25,28.6
544,33.14,24.93,26.23,28.41
545,32.88,24.77,26.01,28.26
546,32.75,24.67,25.47,28.25
547,32.65,24.56,25.74,28.24
548,32.62,24.48,25.92,28.17
549,32.56,24.44,26.23,28.13
550,32.64,24.42,26.42,28.07
551,32.52,24.32,26.44,27.97
552,32.32,20.68,26.4,27.86
553,32.16,24.04,21.09,27.82
554,31.98,23.96,21.33,27.73
555,31.85,23.88,21.67,27.73
556,31.7,20.25,22.27,27.67
557,31.78,23.83,22.43,27.65
558,31.98,23.72,22.44,27.66
559,32.01,23.58,22.25,27.64
560,31.87,23.44,21.93,27.61
561,25.68,23.42,27.18,27.53
562,25.75,19.69,27.07,28.07
563,26.16,30.17,27.19,28.04
564,26.0,30.24,27.35,28.04
565,25.9,30.26,27.79,28.09
566,26.11,30.24,28.25,27.28
567,26.57,30.16,28.82,27.21
568,26.68,30.05,26.76,28.13
569,26.79,29.92,26.69,28.12
570,26.69,29.72,26.86,27.08
571,26.69,29.6,26.85,27.02
572,26.62,29.48,27.06,28.28
573,26.44,29.36,27.19,28.19
574,26.35,29.31,27.09,26.86
575,26.12,29.22,26.87,26.65
576,26.05,29.05,27.94,26.55
577,26.17,28.87,27.72,26.51
578,26.35,28.76,27.56,26.49
579,26.55,28.67,27.44,19.38
580,26.62,28.66,27.23,19.17
581,26.68,28.67,26.99,18.95
582,26.73,28.78,26.94,18.72
583,26.7,28.9,26.93,18.6
584,26.73,28.92,26.86,18.52
585,26.57,28.9,21.42,18.67
586,31.8,28.83,27.16,19.54
587,31.5,28.84,27.21,19.75
588,30.93,28.84,27.3,20.06
589,26.65,28.86,27.25,20.32
590,30.34,28.91,27.22,20.6
591,30.26,28.96,27.22,20.9
592,26.43,28.95,27.21,21.21
593,26.29,28.83,27.19,21.57
594,26.31,29.04,27.17,22.04
595,30.13,28.94,27.14,19.08
596,29.87,28.92,27.14,19.22
597,26.53,28.98,27.6,19.37
598,30.06,29.15,27.8,19.5
599,30.08,29.31,27.75,19.61
600,29.98,29.49,28.01,19.73
601,30.07,29.52,27.69,23.49
602,30.21,29.61,27.55,24.21
603,30.17,29.61,27.41,24.62
604,29.89,29.76,27.41,24.94
605,29.69,29.86,27.43,25.22
606,29.66,29.95,27.88,25.5
607,29.77,30.06,28.05,25.79
608,30.04,30.21,28.46,26.03
609,29.92,30.36,28.71,26.26
610,29.72,30.51,28.76,26.48
611,29.71,30.74,28.43,26.72
612,29.56,30.93,28.42,26.99
613,29.42,31.15,28.51,27.16
614,29.41,31.39,28.59,27.7
615,29.36,31.59,28.57,28.01
616,29.47,31.76,28.36,28.19
617,29.5,31.95,28.08,27.96
618,29.66,32.09,27.97,23.29
619,25.5,32.31,28.04,23.37
620,29.78,32.47,27.82,23.57
621,29.7,32.61,27.61,23.84
622,29.5,32.7,27.64,24.11
623,29.03,32.74,19.79,17.29
624,28.8,32.81,20.0,17.66
625,32.8,32.87,19.97,19.58
626,32.63,32.9,19.81,19.44
627,32.29,20.7,19.57,18.35
628,32.05,20.66,19.26,18.73
629,31.91,20.62,19.09,18.95
630,31.63,14.64,23.41,31.48
631,31.35,14.74,23.34,31.78
632,31.17,14.85,27.43,32.04
633,31.0,14.93,27.11,32.31
634,30.86,15.02,27.14,32.52
635,30.78,15.11,26.98,32.68
636,30.57,15.22,28.04,32.92
637,30.57,15.27,27.84,39.22
638,30.57,15.25,25.99,39.41
639,30.68,15.24,26.0,39.6
640,30.55,15.27,27.24,39.8
641,30.32,15.31,27.03,39.95
642,30.16,15.35,26.86,40.06
643,29.76,15.39,26.87,40.26
644,29.6,15.42,26.96,40.46
645,29.51,15.43,26.55,40.66
646,29.22,15.46,26.32,40.84
647,29.01,15.47,26.24,30.55
648,28.85,15.53,26.13,30.58
649,28.76,15.57,25.91,30.61
650,28.64,15.63,25.76,30.64
651,28.64,15.63,25.6,30.63
652,28.46,15.67,25.23,30.58
653,28.26,15.69,25.25,30.58
654,28.3,15.7,25.29,30.53
655,28.4,15.73,25.11,30.47
656,28.37,15.76,24.83,30.42
657,28.4,15.79,24.64,30.44
658,28.31,15.81,24.39,30.42
659,28.34,15.86,24.18,24.03
660,28.28,15.92,24.13,30.32
661,28.27,15.92,24.28,24.04
662,28.19,19.17,24.51,15.47
663,28.05,19.09,24.32,15.34
664,28.04,19.0,24.07,15.17
665,27.96,18.94,23.91,15.01
666,28.01,18.86,23.66,14.86
667,28.11,18.76,23.49,14.72
668,27.86,18.71,23.21,14.53
669,27.81,18.67,23.04,22.34
670,27.75,18.65,22.87,22.28
671,27.52,18.62,22.76,22.11
672,27.22,18.58,22.67,21.96
673,27.14,18.52,22.51,21.76
674,27.3,18.43,22.37,21.61
675,27.26,18.37,22.31,21.43
676,27.43,18.31,22.16,21.25
677,27.57,18.24,22.04,21.02
678,27.16,18.16,22.15,20.64
679,26.96,18.11,22.15,27.14
680,26.88,18.09,22.1,26.96
681,26.74,18.09,21.92,26.75
682,26.65,18.12,21.84,26.54
683,26.6,18.1,21.83,26.33
684,26.52,18.05,22.14,26.15
685,26.49,17.99,22.1,25.92
686,26.49,17.95,21.91,25.7
687,26.35,17.88,21.54,25.43
688,26.25,17.82,21.28,25.17
689,26.26,17.73,21.21,24.88
690,26.16,17.64,21.1,24.66
691,26.13,17.58,21.04,24.48
692,25.97,17.55,21.03,24.31
693,25.8,17.56,21.05,24.14
694,25.56,17.58,20.8,23.97
695,17.79,17.57,19.9,23.78
696,17.68,17.55,22.11,23.6
697,17.65,17.5,21.84,23.37
698,24.96,17.43,19.65,23.04
699,24.24,17.33,19.39,22.76
700,24.25,17.25,21.3,22.53
701,24.64,17.19,21.03,22.31
702,24.9,17.11,20.91,22.13
703,24.97,17.06,20.89,22.01
704,25.04,17.02,21.16,21.8
705,24.82,17.02,21.22,21.53
706,24.46,17.03,20.77,21.2
707,24.31,17.05,20.46,20.91
708,24.15,17.06,20.26,20.68
709,24.13,17.02,20.28,31.84
710,24.12,16.98,20.27,31.82
711,24.09,36.8,20.32,20.07
712,24.11,36.85,20.25,19.82
713,24.03,36.82,18.62,19.66
714,24.0,36.74,19.98,19.43
715,24.0,36.68,19.72,19.21
716,23.96,36.6,19.56,19.0
717,23.94,36.62,19.36,18.81
718,24.01,36.68,19.37,18.61
719,23.86,36.69,19.35,18.42
720,23.75,36.71,19.41,18.19
721,23.63,36.78,19.39,18.05
722,23.72,36.91,19.4,17.88
723,23.59,37.03,19.39,17.7
724,23.68,37.15,19.48,17.55
725,23.75,37.27,19.54,17.4
726,23.72,37.39,19.62,17.22
727,23.74,37.46,19.74,17.07
728,23.75,37.48,19.74,16.98
729,23.78,37.56,19.78,16.92
730,23.85,37.74,19.78,16.84
731,23.91,37.97,20.0,16.75
732,23.86,38.13,20.1,16.62
733,23.84,38.26,20.26,16.48
734,24.05,38.4,20.35,16.39
735,24.17,38.46,20.44,16.28
736,24.26,38.49,20.38,16.18
737,18.77,38.54,20.21,16.06
738,18.71,38.56,20.03,15.87
739,24.19,29.99,20.07,15.75
740,24.17,30.18,20.2,15.61
741,12.41,28.08,20.34,15.4
742,8.96,28.04,24.4,25.89
743,8.9,28.0,24.37,25.79
744,10.65,27.94,24.33,25.71
745,9.36,27.89,24.24,25.65
746,9.36,27.91,24.17,25.57
747,9.6,27.91,24.23,25.56
748,23.83,30.37,24.24,25.51
749,23.18,30.75,24.19,18.09
750,22.93,31.04,24.18,18.12
