frame_number,timestamp_s,ball_detected,x_center,y_center,is_interpolated,confidence
41,1.6000,1,1329.63,833.67,0,0.435
42,1.6400,1,1328.44,835.21,0,0.414
43,1.6800,1,1326.02,838.36,0,0.482
44,1.7200,1,1323.52,839.57,0,0.392
45,1.7600,1,1321.15,840.73,1,0.000
46,1.8000,1,1319.02,841.76,1,0.000
47,1.8400,1,1217.71,744.29,0,0.052
48,1.8800,1,1184.21,714.12,1,0.000
49,1.9200,1,1154.05,686.97,1,0.000
50,1.9600,1,1127.00,662.60,1,0.000
51,2.0000,1,1102.80,640.82,1,0.000
52,2.0400,1,1209.03,718.24,0,0.140
53,2.0800,1,1167.49,704.40,0,0.632
54,2.1200,1,1125.81,691.36,0,0.761
55,2.1600,1,1087.80,680.84,0,0.503
56,2.2000,1,1050.20,670.90,0,0.677
57,2.2400,1,1012.54,662.21,0,0.809
58,2.2800,1,980.04,654.86,0,0.683
59,2.3200,1,952.65,646.43,0,0.749
60,2.3600,1,925.40,638.48,0,0.374
61,2.4000,1,900.87,631.28,0,0.445
62,2.4400,1,878.46,620.97,0,0.385
63,2.4800,1,857.18,611.18,1,0.000
64,2.5200,1,838.02,602.37,1,0.000
65,2.5600,1,820.83,594.46,1,0.000
66,2.6000,1,804.09,607.69,0,0.536
67,2.6400,1,786.44,606.13,0,0.595
68,2.6800,1,771.98,604.74,0,0.407
69,2.7200,1,760.52,600.73,0,0.683
70,2.7600,1,749.17,603.16,0,0.631
71,2.8000,1,738.82,605.17,0,0.506
72,2.8400,1,728.72,607.69,0,0.560
73,2.8800,1,716.09,608.99,0,0.261
74,2.9200,1,707.14,618.00,0,0.657
75,2.9600,1,698.10,623.47,0,0.359
76,3.0000,1,689.37,633.01,0,0.379
77,3.0400,1,682.09,639.38,0,0.514
78,3.0800,1,676.68,633.20,0,0.317
79,3.1200,1,673.83,618.72,0,0.230
80,3.1600,1,668.95,603.48,0,0.541
81,3.2000,1,666.15,592.66,0,0.472
82,3.2400,1,663.93,583.21,0,0.409
83,3.2800,1,660.09,570.76,0,0.561
84,3.3200,1,656.44,558.93,1,0.000
85,3.3600,1,653.16,548.28,1,0.000
86,3.4000,1,650.21,538.73,1,0.000
87,3.4400,1,647.58,530.19,1,0.000
88,3.4800,1,645.23,522.58,1,0.000
89,3.5200,1,643.15,515.84,1,0.000
90,3.5600,1,641.32,509.89,1,0.000
91,3.6000,1,639.71,504.67,1,0.000
92,3.6400,1,638.31,500.13,1,0.000
93,3.6800,1,615.88,533.02,0,0.072
94,3.7200,1,610.22,535.27,0,0.060
95,3.7600,1,604.86,537.41,1,0.000
96,3.8000,1,614.62,545.06,0,0.240
97,3.8400,1,616.71,549.71,1,0.000
98,3.8800,1,618.58,553.90,1,0.000
99,3.9200,1,620.27,557.65,1,0.000
100,3.9600,1,621.78,561.01,1,0.000
101,4.0000,1,623.12,564.00,1,0.000
102,4.0400,1,624.31,566.65,1,0.000
103,4.0800,1,726.43,595.62,0,0.535
104,4.1200,1,742.81,596.26,0,0.286
105,4.1600,1,758.60,596.20,0,0.505
106,4.2000,1,771.95,598.29,0,0.743
107,4.2400,1,788.76,600.05,0,0.607
108,4.2800,1,804.53,605.15,0,0.757
109,4.3200,1,819.62,608.15,0,0.380
110,4.3600,1,835.08,613.18,0,0.334
111,4.4000,1,848.94,618.08,0,0.663
112,4.4400,1,861.92,622.97,0,0.606
113,4.4800,1,875.40,622.73,0,0.776
114,4.5200,1,887.89,621.48,0,0.233
115,4.5600,1,903.63,621.16,0,0.406
116,4.6000,1,915.23,623.78,0,0.737
117,4.6400,1,930.42,626.12,0,0.703
118,4.6800,1,942.71,631.00,0,0.458
119,4.7200,1,955.30,633.28,0,0.404
120,4.7600,1,727.09,538.13,0,0.102
121,4.8000,1,1177.21,832.01,0,0.207
122,4.8400,1,1604.82,1111.20,1,0.000
123,4.8800,1,984.86,635.28,0,0.053
124,4.9200,1,974.16,630.30,0,0.343
125,4.9600,1,971.93,625.67,0,0.746
126,5.0000,1,968.51,620.78,0,0.464
127,5.0400,1,964.25,619.73,0,0.459
128,5.0800,1,958.55,620.60,0,0.338
129,5.1200,1,957.41,619.05,0,0.440
130,5.1600,1,956.24,614.52,0,0.483
131,5.2000,1,956.95,609.66,0,0.258
132,5.2400,1,955.43,609.24,0,0.322
133,5.2800,1,954.42,608.97,0,0.504
134,5.3200,1,954.40,605.96,0,0.586
135,5.3600,1,957.34,601.27,0,0.478
136,5.4000,1,957.60,599.87,0,0.594
137,5.4400,1,958.58,598.17,0,0.606
138,5.4800,1,963.60,596.04,0,0.615
139,5.5200,1,968.43,593.09,0,0.815
140,5.5600,1,971.84,591.14,0,0.894
141,5.6000,1,977.09,588.91,0,0.418
142,5.6400,1,981.04,585.92,0,0.241
143,5.6800,1,987.64,583.33,0,0.385
144,5.7200,1,994.11,583.08,0,0.785
145,5.7600,1,998.55,579.69,0,0.594
146,5.8000,1,1001.84,577.62,0,0.586
147,5.8400,1,1006.14,576.56,0,0.335
148,5.8800,1,1013.43,575.47,0,0.333
149,5.9200,1,1019.14,572.91,0,0.427
150,5.9600,1,747.59,457.61,0,0.135
151,6.0000,1,489.62,348.08,1,0.000
152,6.0400,1,257.45,249.50,1,0.000
153,6.0800,1,1046.71,568.79,0,0.091
154,6.1200,1,1141.44,603.99,1,0.000
155,6.1600,1,1226.69,635.68,1,0.000
156,6.2000,1,1303.17,664.10,1,0.000
157,6.2400,1,1371.56,689.52,1,0.000
158,6.2800,1,1432.47,712.16,1,0.000
159,6.3200,1,1124.79,594.82,0,0.069
160,6.3600,1,1144.60,602.71,0,0.607
161,6.4000,1,1163.97,609.48,0,0.632
162,6.4400,1,1179.34,619.51,0,0.317
163,6.4800,1,1198.21,624.83,0,0.402
164,6.5200,1,1216.12,632.98,0,0.563
165,6.5600,1,1229.78,643.83,0,0.735
166,6.6000,1,1247.17,651.91,0,0.384
167,6.6400,1,1263.30,656.13,0,0.632
168,6.6800,1,1277.44,664.47,0,0.387
169,6.7200,1,1293.77,672.43,0,0.595
170,6.7600,1,1309.00,680.56,0,0.571
171,6.8000,1,1323.51,688.49,0,0.602
172,6.8400,1,1338.43,694.23,0,0.597
173,6.8800,1,1354.56,702.06,0,0.820
174,6.9200,1,1370.77,706.15,0,0.577
175,6.9600,1,1386.72,712.87,0,0.620
176,7.0000,1,1402.76,719.42,0,0.779
177,7.0400,1,1418.64,727.03,0,0.457
178,7.0800,1,1435.97,731.16,0,0.660
179,7.1200,1,1453.57,738.48,0,0.653
180,7.1600,1,1468.82,744.23,0,0.709
181,7.2000,1,1486.49,750.31,0,0.528
182,7.2400,1,1504.21,758.47,0,0.799
183,7.2800,1,1522.09,765.73,0,0.644
184,7.3200,1,1536.20,769.61,0,0.706
185,7.3600,1,1552.50,777.16,0,0.539
186,7.4000,1,1568.03,783.21,0,0.700
187,7.4400,1,1581.13,791.86,0,0.770
188,7.4800,1,1596.86,797.93,0,0.783
189,7.5200,1,1610.72,801.69,0,0.573
190,7.5600,1,1631.93,808.95,0,0.382
191,7.6000,1,1628.28,815.07,0,0.175
192,7.6400,1,1605.53,814.09,0,0.748
193,7.6800,1,1589.87,813.14,0,0.605
194,7.7200,1,1574.85,813.26,0,0.683
195,7.7600,1,1557.84,814.07,0,0.801
196,7.8000,1,1540.52,815.36,0,0.686
197,7.8400,1,1527.96,814.18,0,0.492
198,7.8800,1,1511.89,815.21,0,0.609
199,7.9200,1,1499.29,815.61,0,0.866
200,7.9600,1,1486.16,816.77,0,0.700
201,8.0000,1,1473.84,814.54,0,0.636
202,8.0400,1,1461.88,814.91,0,0.711
203,8.0800,1,1449.74,814.17,0,0.795
204,8.1200,1,1439.19,814.04,0,0.607
205,8.1600,1,1431.13,814.09,0,0.773
206,8.2000,1,1422.79,814.69,0,0.750
207,8.2400,1,1415.29,815.10,0,0.531
208,8.2800,1,1410.37,814.68,0,0.585
209,8.3200,1,1405.99,814.77,0,0.775
210,8.3600,1,1402.07,815.70,0,0.926
211,8.4000,1,1398.74,814.35,0,0.752
212,8.4400,1,1396.11,816.35,0,0.691
213,8.4800,1,1394.85,816.47,0,0.455
214,8.5200,1,1392.94,817.71,0,0.473
215,8.5600,1,1392.68,816.39,0,0.312
216,8.6000,1,1392.98,816.52,0,0.569
217,8.6400,1,1393.38,817.07,0,0.390
218,8.6800,1,1394.88,818.64,0,0.574
219,8.7200,1,1394.55,817.95,0,0.541
220,8.7600,1,1395.73,819.28,0,0.627
221,8.8000,1,1396.22,818.94,0,0.669
222,8.8400,1,1397.37,819.06,0,0.710
223,8.8800,1,1398.21,820.16,0,0.741
224,8.9200,1,1398.70,822.90,0,0.735
225,8.9600,1,1399.50,823.62,0,0.733
226,9.0000,1,1401.05,824.59,0,0.852
227,9.0400,1,1402.32,826.56,0,0.727
228,9.0800,1,1403.27,827.39,0,0.771
229,9.1200,1,1404.81,828.44,0,0.679
230,9.1600,1,1408.01,828.94,0,0.525
231,9.2000,1,1407.47,829.08,0,0.402
232,9.2400,1,1410.51,830.42,0,0.229
233,9.2800,1,1411.01,830.01,0,0.246
234,9.3200,1,1412.82,832.93,0,0.351
235,9.3600,1,1414.54,835.71,1,0.000
236,9.4000,1,1416.92,830.56,0,0.090
237,9.4400,1,1418.86,829.44,1,0.000
238,9.4800,1,1429.39,830.16,0,0.064
239,9.5200,1,1435.32,829.97,1,0.000
240,9.5600,1,1440.65,829.79,1,0.000
241,9.6000,1,443.45,807.57,0,0.070
242,9.6400,1,131.24,800.42,1,0.000
243,9.6800,1,-149.75,793.98,1,0.000
244,9.7200,1,-401.87,788.21,1,0.000
245,9.7600,1,-627.29,783.05,1,0.000
246,9.8000,1,-828.05,778.45,1,0.000
247,9.8400,1,-1006.06,774.37,1,0.000
248,9.8800,1,-1163.09,770.77,1,0.000
249,9.9200,1,-1300.79,767.62,1,0.000
250,9.9600,1,-1420.71,764.87,1,0.000
251,10.0000,1,-1524.28,762.50,1,0.000
252,10.0400,1,-1612.82,760.47,1,0.000
253,10.0800,1,-1687.60,758.76,1,0.000
254,10.1200,1,-1749.75,757.33,1,0.000
255,10.1600,1,-1800.36,756.17,1,0.000
256,10.2000,1,-1840.43,755.25,1,0.000
257,10.2400,0,-1.00,-1.00,0,0.000
258,10.2800,0,-1.00,-1.00,0,0.000
259,10.3200,0,-1.00,-1.00,0,0.000
260,10.3600,0,-1.00,-1.00,0,0.000
261,10.4000,0,-1.00,-1.00,0,0.000
262,10.4400,0,-1.00,-1.00,0,0.000
263,10.4800,0,-1.00,-1.00,0,0.000
264,10.5200,0,-1.00,-1.00,0,0.000
265,10.5600,0,-1.00,-1.00,0,0.000
266,10.6000,0,-1.00,-1.00,0,0.000
267,10.6400,0,-1.00,-1.00,0,0.000
268,10.6800,0,-1.00,-1.00,0,0.000
269,10.7200,0,-1.00,-1.00,0,0.000
270,10.7600,0,-1.00,-1.00,0,0.000
271,10.8000,0,-1.00,-1.00,0,0.000
272,10.8400,1,1479.02,717.81,0,0.053
273,10.8800,1,1476.60,711.17,0,0.779
274,10.9200,1,1472.15,704.71,0,0.317
275,10.9600,1,1462.48,699.23,0,0.089
276,11.0000,1,1460.25,694.16,0,0.369
277,11.0400,1,1457.33,688.75,0,0.501
278,11.0800,1,1453.45,682.25,0,0.415
279,11.1200,1,1451.14,680.99,0,0.482
280,11.1600,1,1445.43,679.56,0,0.282
281,11.2000,1,1439.75,671.08,0,0.289
282,11.2400,1,1437.95,669.02,0,0.417
283,11.2800,1,1436.20,665.73,0,0.629
284,11.3200,1,1432.74,664.76,0,0.319
285,11.3600,1,1429.45,663.84,1,0.000
286,11.4000,1,1502.57,817.19,0,0.117
287,11.4400,1,1535.75,889.59,1,0.000
288,11.4800,1,1500.65,822.99,0,0.142
289,11.5200,1,1499.73,825.75,1,0.000
290,11.5600,1,1498.91,828.23,1,0.000
291,11.6000,1,1498.17,830.46,1,0.000
292,11.6400,1,1461.16,684.58,0,0.674
293,11.6800,1,1470.42,690.95,0,0.809
294,11.7200,1,1482.59,698.05,0,0.777
295,11.7600,1,1491.62,705.26,0,0.723
296,11.8000,1,1500.93,711.73,0,0.867
297,11.8400,1,1511.15,720.16,0,0.697
298,11.8800,1,1520.29,728.84,0,0.726
299,11.9200,1,1528.82,732.92,0,0.637
300,11.9600,1,1535.40,738.28,0,0.338
301,12.0000,1,1546.36,745.69,0,0.881
302,12.0400,1,1553.96,753.66,0,0.291
303,12.0800,1,453.31,414.18,0,0.343
304,12.1200,1,1569.67,765.62,0,0.666
305,12.1600,1,1575.82,769.57,0,0.660
306,12.2000,1,419.99,406.34,0,0.582
307,12.2400,1,408.62,405.23,0,0.513
308,12.2800,1,397.64,406.38,0,0.120
309,12.3200,1,385.29,402.73,0,0.135
310,12.3600,1,372.27,409.22,0,0.089
311,12.4000,1,359.90,415.39,1,0.000
312,12.4400,1,1048.85,759.42,0,0.060
313,12.4800,1,1370.23,925.76,1,0.000
314,12.5200,1,1659.47,1075.47,1,0.000
315,12.5600,1,1011.09,757.94,0,0.099
316,12.6000,1,999.13,757.48,1,0.000
317,12.6400,1,988.37,757.06,1,0.000
318,12.6800,1,978.72,756.68,1,0.000
319,12.7200,1,970.08,756.34,1,0.000
320,12.7600,1,962.39,756.04,1,0.000
321,12.8000,1,955.57,755.78,1,0.000
322,12.8400,1,949.56,755.54,1,0.000
323,12.8800,1,944.29,755.33,1,0.000
324,12.9200,1,939.69,755.16,1,0.000
325,12.9600,1,935.73,755.00,1,0.000
326,13.0000,1,932.34,754.87,1,0.000
327,13.0400,1,929.47,754.76,1,0.000
328,13.0800,1,1911.36,312.81,0,0.221
329,13.1200,1,1908.03,313.05,0,0.282
330,13.1600,1,1557.53,814.43,0,0.236
331,13.2000,1,1555.90,809.89,0,0.410
332,13.2400,1,1552.57,806.31,0,0.544
333,13.2800,1,1545.78,802.30,0,0.453
334,13.3200,1,1544.78,801.88,0,0.397
335,13.3600,1,1539.32,804.81,0,0.079
336,13.4000,1,1533.12,802.34,0,0.535
337,13.4400,1,1531.39,800.97,0,0.737
338,13.4800,1,1528.15,799.65,0,0.837
339,13.5200,1,1527.94,797.33,0,0.884
340,13.5600,1,1524.78,794.31,0,0.813
341,13.6000,1,1523.37,793.83,0,0.609
342,13.6400,1,1517.88,794.20,0,0.172
343,13.6800,1,1510.42,790.68,0,0.284
344,13.7200,1,1509.91,792.32,0,0.287
345,13.7600,1,1507.79,792.19,0,0.327
346,13.8000,1,1509.77,795.64,0,0.195
347,13.8400,1,1511.65,798.91,1,0.000
348,13.8800,1,1515.29,794.85,0,0.149
349,13.9200,1,1506.29,789.46,0,0.249
350,13.9600,1,1497.73,784.34,1,0.000
351,14.0000,1,1490.03,779.73,1,0.000
352,14.0400,1,1485.25,776.11,0,0.469
353,14.0800,1,1482.56,772.48,0,0.797
354,14.1200,1,1476.25,767.41,0,0.903
355,14.1600,1,1472.84,764.71,0,0.900
356,14.2000,1,1467.94,762.55,0,0.419
357,14.2400,1,1465.82,761.53,0,0.296
358,14.2800,1,1461.49,758.39,0,0.483
359,14.3200,1,1459.86,756.88,0,0.316
360,14.3600,1,1458.13,754.36,0,0.282
361,14.4000,1,1458.31,754.14,0,0.499
362,14.4400,1,1458.02,754.56,0,0.512
363,14.4800,1,1458.88,754.58,0,0.501
364,14.5200,1,1458.44,753.51,0,0.657
365,14.5600,1,1457.20,752.85,0,0.828
366,14.6000,1,1457.61,751.08,0,0.807
367,14.6400,1,1457.10,750.66,0,0.887
368,14.6800,1,1456.58,750.71,0,0.899
369,14.7200,1,1455.91,748.81,0,0.853
370,14.7600,1,1454.88,748.84,0,0.801
371,14.8000,1,1453.74,748.62,0,0.884
372,14.8400,1,1452.98,748.00,0,0.901
373,14.8800,1,1452.42,746.89,0,0.892
374,14.9200,1,1452.23,745.80,0,0.923
375,14.9600,1,1452.19,748.26,0,0.932
376,15.0000,1,1452.09,747.29,0,0.942
377,15.0400,1,1452.14,747.05,0,0.931
378,15.0800,1,1451.76,746.97,0,0.952
379,15.1200,1,1451.80,750.38,0,0.907
380,15.1600,1,1451.67,749.56,0,0.930
381,15.2000,1,1452.61,751.22,0,0.905
382,15.2400,1,1453.59,750.77,0,0.910
383,15.2800,1,1454.30,752.93,0,0.889
384,15.3200,1,1453.98,753.72,0,0.839
385,15.3600,1,1453.82,753.40,0,0.574
386,15.4000,1,1455.32,754.41,0,0.696
387,15.4400,1,1456.01,753.62,0,0.689
388,15.4800,1,1456.35,753.94,0,0.692
389,15.5200,1,1456.73,753.38,0,0.579
390,15.5600,1,1457.29,753.50,0,0.558
391,15.6000,1,1458.67,753.84,0,0.590
392,15.6400,1,1458.42,753.76,0,0.522
393,15.6800,1,1459.83,756.44,0,0.176
394,15.7200,1,1461.16,758.48,0,0.278
395,15.7600,1,1461.07,759.08,0,0.213
396,15.8000,1,1461.40,762.46,0,0.403
397,15.8400,1,1461.88,764.18,0,0.268
398,15.8800,1,1462.84,767.41,0,0.083
399,15.9200,1,1463.14,766.47,0,0.076
400,15.9600,1,1470.48,771.95,0,0.071
401,16.0000,1,1474.72,773.73,0,0.061
402,16.0400,1,1472.43,769.57,0,0.104
403,16.0800,1,1470.25,765.62,1,0.000
404,16.1200,1,1468.29,762.07,1,0.000
405,16.1600,1,1466.53,758.88,1,0.000
406,16.2000,1,1464.96,756.03,1,0.000
407,16.2400,1,1463.56,753.49,1,0.000
408,16.2800,1,1462.32,751.24,1,0.000
409,16.3200,1,1461.23,749.25,1,0.000
410,16.3600,1,1460.27,747.51,1,0.000
411,16.4000,1,1459.43,745.99,1,0.000
412,16.4400,1,1458.71,744.68,1,0.000
413,16.4800,1,1458.09,743.56,1,0.000
414,16.5200,1,1457.57,742.61,1,0.000
415,16.5600,1,1457.14,741.83,1,0.000
416,16.6000,1,1456.79,741.19,1,0.000
417,16.6400,1,1536.29,645.45,0,0.484
418,16.6800,1,1537.93,637.86,0,0.273
419,16.7200,1,1538.64,632.06,0,0.463
420,16.7600,1,1537.52,623.10,0,0.395
421,16.8000,1,1540.15,616.89,0,0.099
422,16.8400,1,1539.51,607.47,0,0.314
423,16.8800,1,1539.85,602.90,0,0.592
424,16.9200,1,1539.93,598.79,0,0.732
425,16.9600,1,1540.07,596.41,0,0.624
426,17.0000,1,1539.46,589.45,0,0.278
427,17.0400,1,1541.02,584.01,0,0.509
428,17.0800,1,1540.52,580.88,0,0.566
429,17.1200,1,1539.82,576.88,0,0.630
430,17.1600,1,1540.93,574.89,0,0.647
431,17.2000,1,1540.60,571.24,0,0.492
432,17.2400,1,1543.93,567.10,0,0.423
433,17.2800,1,1546.04,560.36,0,0.223
434,17.3200,1,1547.75,558.12,0,0.174
435,17.3600,1,1548.17,557.38,0,0.167
436,17.4000,1,1549.54,553.51,0,0.053
437,17.4400,1,1549.92,549.69,0,0.056
438,17.4800,1,1549.93,550.28,0,0.090
439,17.5200,1,1552.67,552.78,0,0.102
440,17.5600,1,220.64,576.66,0,0.124
441,17.6000,1,-1044.79,599.35,1,0.000
442,17.6400,1,1555.51,551.41,0,0.052
443,17.6800,1,2189.57,539.41,1,0.000
444,17.7200,1,1558.25,553.85,0,0.051
445,17.7600,1,1556.77,554.40,0,0.060
446,17.8000,1,1555.37,554.92,1,0.000
447,17.8400,1,1554.10,555.38,1,0.000
448,17.8800,1,1552.97,555.80,1,0.000
449,17.9200,1,1551.96,556.18,1,0.000
450,17.9600,1,1551.05,556.51,1,0.000
451,18.0000,1,1550.25,556.81,1,0.000
452,18.0400,1,1549.55,557.07,1,0.000
453,18.0800,1,1548.93,557.30,1,0.000
454,18.1200,1,1548.39,557.50,1,0.000
455,18.1600,1,1547.92,557.67,1,0.000
456,18.2000,1,1547.53,557.82,1,0.000
457,18.2400,1,581.12,240.60,0,0.077
458,18.2800,1,503.88,215.76,1,0.000
459,18.3200,1,434.36,193.40,1,0.000
460,18.3600,1,371.99,173.34,1,0.000
461,18.4000,1,316.22,155.41,1,0.000
462,18.4400,1,266.56,139.43,1,0.000
463,18.4800,1,222.52,125.27,1,0.000
464,18.5200,1,183.67,112.77,1,0.000
465,18.5600,1,149.60,101.82,1,0.000
466,18.6000,0,-1.00,-1.00,0,0.000
467,18.6400,0,-1.00,-1.00,0,0.000
468,18.6800,0,-1.00,-1.00,0,0.000
469,18.7200,0,-1.00,-1.00,0,0.000
470,18.7600,1,1529.67,523.99,0,0.109
471,18.8000,1,1507.34,513.72,0,0.243
472,18.8400,1,1486.29,507.92,0,0.259
473,18.8800,1,1473.53,500.17,0,0.660
474,18.9200,1,1456.70,495.23,0,0.241
475,18.9600,1,1443.49,489.45,0,0.201
476,19.0000,1,1429.60,484.47,0,0.184
477,19.0400,1,1416.41,479.74,1,0.000
478,19.0800,1,1565.08,911.20,0,0.093
479,19.1200,1,1906.46,416.85,0,0.232
480,19.1600,1,1908.72,418.86,0,0.180
481,19.2000,1,1363.71,460.72,0,0.096
482,19.2400,1,1356.05,454.74,0,0.729
483,19.2800,1,1342.05,453.82,0,0.292
484,19.3200,1,1335.91,449.89,0,0.673
485,19.3600,1,1327.98,440.65,0,0.195
486,19.4000,1,1317.09,438.39,0,0.193
487,19.4400,1,1310.83,436.12,0,0.500
488,19.4800,1,1302.11,433.49,0,0.443
489,19.5200,1,1294.23,429.49,0,0.131
490,19.5600,1,1289.30,427.88,0,0.199
491,19.6000,1,1284.63,426.35,1,0.000
492,19.6400,1,1280.42,424.98,1,0.000
493,19.6800,1,1276.64,423.74,1,0.000
494,19.7200,1,1273.27,422.64,1,0.000
495,19.7600,1,1270.26,421.66,1,0.000
496,19.8000,1,1267.60,420.79,1,0.000
497,19.8400,1,1265.24,420.02,1,0.000
498,19.8800,1,1263.18,419.34,1,0.000
499,19.9200,1,1261.39,418.76,1,0.000
500,19.9600,1,1259.83,418.25,1,0.000
501,20.0000,1,1258.51,417.82,1,0.000
502,20.0400,1,1257.39,417.45,1,0.000
503,20.0800,1,1256.46,417.15,1,0.000
504,20.1200,1,1255.70,416.90,1,0.000
505,20.1600,1,1237.99,384.62,0,0.157
506,20.2000,1,1237.18,383.96,0,0.444
507,20.2400,1,1237.57,383.68,0,0.387
508,20.2800,1,1237.92,385.18,0,0.491
509,20.3200,1,1236.62,386.55,0,0.462
510,20.3600,1,1236.69,390.07,0,0.456
511,20.4000,1,1237.04,391.47,0,0.423
512,20.4400,1,1237.51,390.54,0,0.292
513,20.4800,1,1237.55,388.42,0,0.320
514,20.5200,1,1238.80,389.23,0,0.337
515,20.5600,1,1239.22,390.14,0,0.288
516,20.6000,1,1241.56,390.77,0,0.197
517,20.6400,1,1242.50,392.17,0,0.109
518,20.6800,1,1243.37,392.37,0,0.175
519,20.7200,1,1243.48,392.53,0,0.128
520,20.7600,1,1244.68,392.27,0,0.167
521,20.8000,1,1245.62,392.19,0,0.052
522,20.8400,1,1246.51,392.10,1,0.000
523,20.8800,1,1247.31,392.03,1,0.000
524,20.9200,1,1256.93,402.18,0,0.062
525,20.9600,1,1257.31,401.23,0,0.075
526,21.0000,1,1259.42,400.66,0,0.245
527,21.0400,1,1261.24,401.12,0,0.098
528,21.0800,1,1262.93,400.92,0,0.071
529,21.1200,1,1601.17,1036.17,0,0.080
530,21.1600,1,748.29,843.34,0,0.073
531,21.2000,1,-61.94,660.16,1,0.000
532,21.2400,1,-791.15,495.29,1,0.000
533,21.2800,1,-1445.41,347.37,1,0.000
534,21.3200,1,-2030.40,215.12,1,0.000
535,21.3600,1,-2551.41,97.32,1,0.000
536,21.4000,1,-3013.37,-7.12,1,0.000
537,21.4400,1,-3420.88,-99.25,1,0.000
538,21.4800,1,-3778.24,-180.05,1,0.000
539,21.5200,1,-4089.43,-250.41,1,0.000
540,21.5600,1,-4358.20,-311.17,1,0.000
541,21.6000,1,-4587.99,-363.12,1,0.000
542,21.6400,1,-4782.04,-406.99,1,0.000
543,21.6800,1,-4943.34,-443.46,1,0.000
544,21.7200,1,-5074.68,-473.16,1,0.000
545,21.7600,1,-5178.66,-496.67,1,0.000
546,21.8000,1,1283.91,403.43,0,0.098
547,21.8400,1,1282.84,402.83,0,0.098
548,21.8800,1,1281.83,402.25,1,0.000
549,21.9200,1,1722.43,1062.91,0,0.056
550,21.9600,1,1931.24,1376.45,1,0.000
551,22.0000,1,1268.13,406.96,0,0.065
552,22.0400,1,1265.80,408.19,0,0.128
553,22.0800,1,1263.47,409.47,0,0.401
554,22.1200,1,1262.10,408.85,0,0.277
555,22.1600,1,1259.88,410.80,0,0.274
556,22.2000,1,1258.24,409.59,0,0.119
557,22.2400,1,1257.49,412.28,0,0.218
558,22.2800,1,1255.20,413.24,0,0.231
559,22.3200,1,1254.08,412.51,0,0.226
560,22.3600,1,1254.64,412.84,0,0.282
561,22.4000,1,1254.93,413.38,0,0.178
562,22.4400,1,1255.29,415.22,0,0.115
563,22.4800,1,1256.01,414.81,0,0.170
564,22.5200,1,1257.72,415.86,0,0.111
565,22.5600,1,1257.56,415.20,0,0.073
566,22.6000,1,767.37,794.71,0,0.202
567,22.6400,1,768.67,794.51,0,0.100
568,22.6800,1,769.90,794.32,1,0.000
569,22.7200,1,771.01,794.15,1,0.000
570,22.7600,1,772.01,793.99,1,0.000
571,22.8000,1,772.90,793.85,1,0.000
572,22.8400,1,435.69,615.56,0,0.065
573,22.8800,1,425.36,608.79,0,0.063
574,22.9200,1,415.56,602.35,1,0.000
575,22.9600,1,1264.83,415.21,0,0.318
576,23.0000,1,1263.13,413.94,0,0.213
577,23.0400,1,1263.79,414.39,0,0.273
578,23.0800,1,1264.82,415.90,0,0.321
579,23.1200,1,1264.07,416.03,0,0.263
580,23.1600,1,1263.66,415.37,0,0.145
581,23.2000,1,1264.36,415.53,0,0.052
582,23.2400,1,1264.31,414.74,0,0.061
583,23.2800,1,769.59,768.18,0,0.052
