frame_number,timestamp_s,track_id,team_label,bbox_x1,bbox_y1,bbox_x2,bbox_y2,foot_x_px,foot_y_px,pitch_x_m,pitch_y_m
7,0.2400,13,Team B,906,274,949,358,927.5,356.3,82.5970,28.6089
7,0.2400,14,Team B,1481,400,1523,499,1502.0,497.0,84.8455,46.2627
7,0.2400,15,Team B,1191,373,1254,471,1222.5,469.0,81.8121,42.0795
7,0.2400,12,Team B,1307,331,1351,441,1329.0,438.8,85.1944,40.6127
7,0.2400,28,Team B,943,278,985,366,964.0,364.2,82.6849,29.7993
8,0.2800,1,Team B,1425,490,1491,606,1458.0,603.7,79.5400,52.0448
8,0.2800,2,Team A,1372,672,1438,810,1405.0,807.2,73.0568,59.9157
8,0.2800,3,Team B,742,471,800,590,771.0,587.6,70.7078,46.6160
8,0.2800,4,Team B,373,335,416,429,394.5,427.1,69.2431,31.5916
8,0.2800,5,Team B,251,602,325,748,288.0,745.1,61.6483,51.9663
8,0.2800,6,Team B,1601,520,1662,630,1631.5,627.8,80.9823,54.3449
8,0.2800,7,Team B,997,432,1050,542,1023.5,539.8,75.7706,45.5224
8,0.2800,8,Team B,792,326,845,430,818.5,427.9,76.7793,35.1861
8,0.2800,9,Team B,1115,320,1154,406,1134.5,404.3,83.6742,35.6377
8,0.2800,10,Team B,0,262,25,344,12.5,342.4,64.2928,16.5535
8,0.2800,11,Referee,596,303,635,395,615.5,393.2,74.5686,29.8057
8,0.2800,13,Team B,896,273,940,359,918.0,357.3,82.3318,28.5518
8,0.2800,14,Team B,1478,402,1516,492,1497.0,490.2,84.9755,45.9186
8,0.2800,15,Team B,1184,376,1244,471,1214.0,469.1,81.6379,42.0230
8,0.2800,12,Team B,1296,345,1333,441,1314.5,439.1,84.9589,40.4552
8,0.2800,28,Team B,932,276,976,367,954.0,365.2,82.5155,29.8020
9,0.3200,1,Team B,1424,487,1490,606,1457.0,603.6,79.4928,52.0895
9,0.3200,2,Team A,1366,671,1431,810,1398.5,807.2,72.9597,59.9122
9,0.3200,3,Team B,734,478,791,596,762.5,593.6,70.4098,46.9398
9,0.3200,4,Team B,363,335,406,429,384.5,427.1,68.9973,31.5371
9,0.3200,5,Team B,241,606,316,754,278.5,751.0,61.4784,52.0625
9,0.3200,6,Team B,1600,522,1661,633,1630.5,630.8,80.8547,54.4339
9,0.3200,7,Team B,990,433,1044,544,1017.0,541.8,75.5583,45.6201
9,0.3200,8,Team B,787,329,839,432,813.0,429.9,76.5570,35.3037
9,0.3200,9,Team B,1112,321,1152,408,1132.0,406.3,83.4993,35.7459
9,0.3200,11,Referee,588,305,627,396,607.5,394.2,74.3143,29.8760
9,0.3200,13,Team B,888,273,932,362,910.0,360.2,82.0064,28.6902
9,0.3200,14,Team B,1475,403,1507,478,1491.0,476.5,85.4004,45.1687
9,0.3200,15,Team B,1173,374,1235,473,1204.0,471.0,81.4023,42.0411
9,0.3200,12,Team B,1284,344,1321,440,1302.5,438.1,84.7629,40.2784
9,0.3200,28,Team B,927,285,967,370,947.0,368.3,82.2369,29.9759
10,0.3600,1,Team B,1422,489,1486,607,1454.0,604.6,79.4188,52.1302
10,0.3600,2,Team A,1360,669,1426,811,1393.0,808.2,72.8642,59.9226
10,0.3600,3,Team B,728,484,782,597,755.0,594.7,70.1972,47.0822
10,0.3600,4,Team B,353,338,395,430,374.0,428.2,68.7470,31.5237
10,0.3600,5,Team B,228,607,308,761,268.0,757.9,61.2763,52.2509
10,0.3600,6,Team B,1600,526,1661,635,1630.5,632.8,80.7515,54.5294
10,0.3600,7,Team B,983,435,1038,546,1010.5,543.8,75.3618,45.7107
10,0.3600,8,Team B,781,331,830,431,805.5,429.0,76.3966,35.2561
10,0.3600,9,Team B,1105,324,1145,409,1125.0,407.3,83.3033,35.8085
10,0.3600,11,Referee,576,311,616,400,596.0,398.2,73.9632,30.1069
10,0.3600,13,Team B,878,278,920,361,899.0,359.3,81.7580,28.6115
10,0.3600,14,Team B,1464,405,1503,497,1483.5,495.2,84.8982,45.6225
10,0.3600,15,Team B,1165,373,1229,475,1197.0,473.0,81.1720,42.1038
10,0.3600,12,Team B,1274,349,1309,440,1291.5,438.2,84.5554,40.1548
10,0.3600,28,Team B,921,286,960,369,940.5,367.3,82.0664,29.9349
11,0.4000,1,Team B,1420,491,1483,609,1451.5,606.6,79.3166,52.2007
11,0.4000,2,Team A,1355,670,1421,811,1388.0,808.2,72.7848,59.9226
11,0.4000,3,Team B,720,488,773,599,746.5,596.8,69.9967,47.1810
11,0.4000,4,Team B,345,337,388,432,366.5,430.1,68.5119,31.5971
11,0.4000,5,Team B,218,609,298,763,258.0,759.9,61.0967,52.3543
11,0.4000,6,Team B,1599,525,1661,636,1630.0,633.8,80.6784,54.5961
11,0.4000,7,Team B,976,438,1032,548,1004.0,545.8,75.1715,45.7990
11,0.4000,8,Team B,774,333,824,434,799.0,432.0,76.1711,35.3711
11,0.4000,9,Team B,1096,327,1137,413,1116.5,411.3,82.9836,36.0165
11,0.4000,11,Referee,565,310,607,403,586.0,401.1,73.6204,30.3340
11,0.4000,13,Team B,872,276,914,360,893.0,358.3,81.6056,28.4641
11,0.4000,14,Team B,1456,406,1497,502,1476.5,500.1,84.4729,45.9728
11,0.4000,15,Team B,1161,372,1223,474,1192.0,472.0,81.0475,42.0571
11,0.4000,12,Team B,1262,349,1297,441,1279.5,439.2,84.3032,40.0927
11,0.4000,28,Team B,909,286,951,372,930.0,370.3,81.7540,30.0584
12,0.4400,1,Team B,1417,493,1479,610,1448.0,607.7,79.2167,52.2498
12,0.4400,2,Team A,1352,671,1418,811,1385.0,808.2,72.7246,59.9244
12,0.4400,3,Team B,711,491,764,599,737.5,596.8,69.8262,47.1917
12,0.4400,4,Team B,338,338,381,434,359.5,432.1,68.2882,31.7098
12,0.4400,5,Team B,209,609,289,762,249.0,758.9,60.9518,52.3521
12,0.4400,6,Team B,1597,530,1657,638,1627.0,635.8,80.5734,54.6723
12,0.4400,7,Team B,972,441,1027,550,999.5,547.8,75.0021,45.8945
12,0.4400,8,Team B,770,337,816,433,793.0,431.1,76.0238,35.3327
12,0.4400,9,Team B,1092,326,1136,418,1114.0,416.2,82.6535,36.3625
12,0.4400,11,Referee,555,311,598,404,576.5,402.1,73.3337,30.4360
12,0.4400,13,Team B,865,278,906,362,885.5,360.3,81.3662,28.5015
12,0.4400,14,Team B,1449,406,1489,497,1469.0,495.2,84.3717,45.8775
12,0.4400,15,Team B,1157,373,1219,477,1188.0,474.9,80.8631,42.1552
12,0.4400,12,Team B,1250,349,1287,442,1268.5,440.1,84.0440,40.0602
12,0.4400,28,Team B,901,291,943,377,922.0,375.3,81.3467,30.4019
13,0.4800,1,Team B,1414,495,1474,612,1444.0,609.7,79.0923,52.3180
13,0.4800,2,Team A,1345,671,1411,811,1378.0,808.2,72.6465,59.9146
13,0.4800,3,Team B,702,495,756,607,729.0,604.8,69.5583,47.4400
13,0.4800,4,Team B,331,342,372,438,351.5,436.1,68.0247,31.9546
13,0.4800,5,Team B,201,611,281,764,241.0,760.9,60.8090,52.3857
13,0.4800,6,Team B,1593,536,1652,642,1622.5,639.9,80.4008,54.8001
13,0.4800,7,Team B,974,441,1028,549,1001.0,546.8,74.9550,45.9028
13,0.4800,8,Team B,766,342,810,434,788.0,432.2,75.8684,35.3507
13,0.4800,9,Team B,1088,327,1133,419,1110.5,417.2,82.4375,36.5352
13,0.4800,11,Referee,547,314,589,405,568.0,403.2,73.0800,30.4960
13,0.4800,13,Team B,857,283,897,365,877.0,363.4,81.0451,28.6820
13,0.4800,14,Team B,1446,408,1482,492,1464.0,490.3,84.4239,45.6127
13,0.4800,15,Team B,1151,373,1213,478,1182.0,475.9,80.6911,42.2100
13,0.4800,12,Team B,1238,350,1274,442,1256.0,440.2,83.7977,39.9833
13,0.4800,28,Team B,900,293,942,379,921.0,377.3,81.0887,30.6640
14,0.5200,1,Team B,1412,500,1471,615,1441.5,612.7,78.9482,52.4303
14,0.5200,2,Team A,1338,671,1405,813,1371.5,810.2,72.5386,59.9392
14,0.5200,3,Team B,694,500,750,612,722.0,609.8,69.3082,47.6865
14,0.5200,4,Team B,321,344,362,441,341.5,439.1,67.7429,32.1794
14,0.5200,5,Team B,195,614,273,765,234.0,762.0,60.6800,52.4128
14,0.5200,6,Team B,1588,546,1645,645,1616.5,643.0,80.2099,54.9185
14,0.5200,7,Team B,970,442,1024,554,997.0,551.8,74.7894,46.0788
14,0.5200,8,Team B,762,344,809,439,785.5,437.1,75.6407,35.6214
14,0.5200,9,Team B,1087,328,1130,415,1108.5,413.3,82.4443,36.3657
14,0.5200,11,Referee,540,317,580,406,560.0,404.2,72.8454,30.5419
14,0.5200,13,Team B,851,285,891,366,871.0,364.4,80.7926,28.7871
14,0.5200,14,Team B,1440,411,1476,497,1458.0,495.3,84.2269,45.6856
14,0.5200,15,Team B,1146,380,1203,480,1174.5,478.0,80.4784,42.2924
14,0.5200,12,Team B,1229,351,1267,444,1248.0,442.1,83.5399,40.0111
14,0.5200,28,Team B,894,294,938,384,916.0,382.2,80.7476,31.0669
15,0.5600,1,Team A,1413,504,1472,618,1442.5,615.7,78.8257,52.5723
15,0.5600,2,Team A,1332,672,1400,818,1366.0,815.1,72.3868,60.0365
15,0.5600,3,Team B,686,503,745,620,715.5,617.7,69.0312,48.0290
15,0.5600,4,Team B,313,348,353,442,333.0,440.1,67.5023,32.2887
15,0.5600,5,Team B,187,613,264,766,225.5,762.9,60.5466,52.4305
15,0.5600,6,Team B,1581,553,1638,652,1609.5,650.0,79.9227,55.1316
15,0.5600,7,Team B,968,444,1021,554,994.5,551.8,74.6877,46.1421
15,0.5600,8,Team B,755,347,802,443,778.5,441.1,75.3626,35.9140
15,0.5600,9,Team B,1083,332,1126,418,1104.5,416.3,82.2909,36.4462
15,0.5600,11,Referee,532,318,572,408,552.0,406.2,72.5974,30.6432
15,0.5600,13,Team B,842,287,883,370,862.5,368.3,80.4388,29.0582
15,0.5600,14,Team B,1435,413,1472,503,1453.5,501.2,83.9190,45.9372
15,0.5600,15,Team B,1139,379,1197,481,1168.0,479.0,80.2912,42.3378
15,0.5600,12,Team B,1219,353,1258,445,1238.5,443.2,83.2934,40.0243
15,0.5600,28,Team B,885,296,929,382,907.0,380.3,80.5532,31.0440
16,0.6000,1,Team A,1413,504,1473,619,1443.0,616.7,78.7515,52.6636
16,0.6000,2,Team A,1326,677,1395,821,1360.5,818.1,72.2425,60.1271
16,0.6000,3,Team B,679,508,739,626,709.0,623.6,68.7723,48.3431
16,0.6000,4,Team B,303,349,345,447,324.0,445.0,67.2115,32.5771
16,0.6000,5,Team B,182,614,256,768,219.0,764.9,60.4192,52.4765
16,0.6000,6,Team B,1578,562,1635,658,1606.5,656.1,79.6505,55.3700
16,0.6000,7,Team B,962,446,1014,556,988.0,553.8,74.5373,46.2183
16,0.6000,8,Team B,745,348,795,447,770.0,445.0,75.0516,36.2039
16,0.6000,9,Team B,1080,339,1120,418,1100.0,416.4,82.1624,36.4588
16,0.6000,11,Referee,523,320,563,411,543.0,409.2,72.3111,30.8254
16,0.6000,13,Team B,833,288,873,372,853.0,370.3,80.1010,29.2474
16,0.6000,14,Team B,1432,414,1465,492,1448.5,490.4,84.0636,45.5669
16,0.6000,15,Team B,1135,381,1192,483,1163.5,481.0,80.1058,42.4252
16,0.6000,12,Team B,1213,358,1251,445,1232.0,443.3,83.1123,39.9995
16,0.6000,28,Team B,883,296,924,379,903.5,377.3,80.5153,30.8102
16,0.6000,39,Staff/GK,1579,280,1611,356,1595.0,354.5,95.9407,34.5569
17,0.6400,1,Team A,1410,503,1472,621,1441.0,618.6,78.6561,52.7537
17,0.6400,2,Team A,1317,681,1386,824,1351.5,821.1,72.0793,60.2043
17,0.6400,3,Team B,673,513,736,633,704.5,630.6,68.5259,48.6825
17,0.6400,4,Team B,295,354,339,452,317.0,450.0,66.9233,32.9479
17,0.6400,5,Team B,177,618,249,773,213.0,769.9,60.2804,52.6101
17,0.6400,6,Team B,1576,568,1635,663,1605.5,661.1,79.4232,55.5969
17,0.6400,7,Team B,955,450,1006,559,980.5,556.8,74.3392,46.3338
17,0.6400,8,Team B,735,351,786,450,760.5,448.0,74.7413,36.4349
17,0.6400,9,Team B,1075,341,1118,427,1096.5,425.3,81.7767,36.9419
17,0.6400,11,Referee,516,321,555,412,535.5,410.2,72.0716,30.9200
17,0.6400,13,Team B,826,287,867,374,846.5,372.3,79.8080,29.4175
17,0.6400,14,Team B,1427,416,1459,494,1443.0,492.4,83.9986,45.4769
17,0.6400,15,Team B,1130,386,1185,487,1157.5,485.0,79.8527,42.6141
17,0.6400,12,Team B,1206,362,1243,443,1224.5,441.4,83.0098,39.8528
17,0.6400,28,Team B,875,298,919,386,897.0,384.2,80.1826,31.1406
18,0.6800,1,Team A,1405,507,1468,625,1436.5,622.6,78.4891,52.8944
18,0.6800,2,Team A,1313,686,1381,827,1347.0,824.2,71.9376,60.2897
18,0.6800,3,Team B,673,520,735,638,704.0,635.6,68.3433,48.9824
18,0.6800,4,Team B,283,358,328,454,305.5,452.1,66.6363,33.1569
18,0.6800,5,Team B,170,620,239,774,204.5,770.9,60.1432,52.6722
18,0.6800,6,Team B,1573,571,1633,667,1603.0,665.1,79.2249,55.7864
18,0.6800,7,Team B,947,454,999,562,973.0,559.8,74.1229,46.4647
18,0.6800,8,Team B,729,352,780,451,754.5,449.0,74.5152,36.5502
18,0.6800,9,Team B,1072,345,1115,432,1093.5,430.3,81.4220,37.3909
18,0.6800,11,Referee,509,324,547,415,528.0,413.2,71.8075,31.1072
18,0.6800,13,Team B,820,286,861,374,840.5,372.2,79.6028,29.4447
18,0.6800,14,Team B,1417,417,1457,513,1437.0,511.1,83.3579,46.1773
18,0.6800,15,Team B,1129,389,1185,489,1157.0,487.0,79.6810,42.7770
18,0.6800,12,Team B,1199,364,1238,447,1218.5,445.3,82.7688,39.9644
18,0.6800,28,Team B,867,298,909,385,888.0,383.3,79.9597,31.1527
19,0.7200,1,Team A,1399,510,1462,627,1430.5,624.7,78.3234,52.9916
19,0.7200,2,Team A,1307,685,1378,831,1342.5,828.1,71.7941,60.3941
19,0.7200,3,Team B,673,527,733,641,703.0,638.7,68.2081,49.2015
19,0.7200,4,Team B,272,358,318,455,295.0,453.1,66.3768,33.2451
19,0.7200,5,Team B,164,623,232,777,198.0,773.9,60.0093,52.7610
19,0.7200,6,Team B,1566,576,1625,669,1595.5,667.1,79.0397,55.8941
19,0.7200,7,Team B,942,458,994,566,968.0,563.8,73.9038,46.6476
19,0.7200,8,Team B,723,353,773,453,748.0,451.0,74.2954,36.6698
19,0.7200,9,Team B,1068,344,1112,436,1090.0,434.2,81.1103,37.7616
19,0.7200,11,Referee,500,325,538,417,519.0,415.2,71.5401,31.2580
19,0.7200,13,Team B,813,290,853,375,833.0,373.3,79.3800,29.4824
19,0.7200,14,Team B,1414,418,1451,508,1432.5,506.2,83.1905,46.2408
19,0.7200,15,Team B,1118,397,1170,492,1144.0,490.1,79.3922,42.9213
19,0.7200,12,Team B,1189,363,1228,446,1208.5,444.3,82.5874,39.9060
19,0.7200,28,Team B,858,298,902,388,880.0,386.2,79.6676,31.3046
20,0.7600,1,Team A,1394,510,1457,629,1425.5,626.6,78.1679,53.0732
20,0.7600,2,Team A,1302,684,1374,832,1338.0,829.0,71.6868,60.4515
20,0.7600,3,Team B,671,529,731,644,701.0,641.7,68.0856,49.3809
20,0.7600,4,Team B,261,360,310,460,285.5,458.0,66.0813,33.5155
20,0.7600,5,Team B,160,629,226,778,193.0,775.0,59.8976,52.8181
20,0.7600,6,Team B,1558,580,1618,672,1588.0,670.2,78.8409,55.9936
20,0.7600,7,Team B,939,463,990,569,964.5,566.9,73.7157,46.8209
20,0.7600,8,Team B,717,354,766,455,741.5,453.0,74.0787,36.7910
20,0.7600,9,Team B,1062,342,1110,440,1086.0,438.0,80.8132,38.0952
20,0.7600,11,Referee,494,330,532,421,513.0,419.2,71.2627,31.5372
20,0.7600,13,Team B,805,291,845,378,825.0,376.3,79.0846,29.6543
20,0.7600,14,Team B,1408,420,1448,515,1428.0,513.1,82.8750,46.5229
20,0.7600,15,Team B,1110,399,1161,494,1135.5,492.1,79.1301,43.0290
20,0.7600,12,Team B,1181,363,1219,443,1200.0,441.4,82.5061,39.6860
20,0.7600,28,Team B,852,301,895,390,873.5,388.2,79.3956,31.4587
21,0.8000,1,Team A,1392,510,1453,629,1422.5,626.6,78.0731,53.0990
21,0.8000,2,Team A,1300,682,1371,831,1335.5,828.0,71.6314,60.4590
21,0.8000,3,Team B,665,531,728,647,696.5,644.7,67.9488,49.5350
21,0.8000,4,Team B,250,363,299,464,274.5,462.0,65.7722,33.7946
21,0.8000,5,Team B,153,632,221,782,187.0,779.0,59.7724,52.9303
21,0.8000,6,Team B,1552,586,1611,677,1581.5,675.2,78.6055,56.1434
21,0.8000,7,Team B,938,465,989,571,963.5,568.9,73.5817,46.9618
21,0.8000,8,Team B,710,354,760,458,735.0,455.9,73.8426,36.9636
21,0.8000,9,Team B,1060,343,1105,437,1082.5,435.1,80.7313,38.0507
21,0.8000,11,Referee,485,335,524,424,504.5,422.2,70.9761,31.7918
21,0.8000,13,Team B,801,294,841,381,821.0,379.3,78.8083,29.9032
21,0.8000,14,Team B,1406,425,1444,517,1425.0,515.2,82.6536,46.7040
21,0.8000,15,Team B,1101,408,1147,495,1124.0,493.3,78.8718,43.0712
21,0.8000,12,Team B,1171,364,1211,449,1191.0,447.3,82.1836,39.8546
21,0.8000,28,Team B,849,305,889,388,869.0,386.3,79.2765,31.3659
22,0.8400,1,Team A,1389,514,1447,629,1418.0,626.7,77.9887,53.0993
22,0.8400,2,Team A,1296,680,1366,828,1331.0,825.0,71.6081,60.4039
22,0.8400,3,Team B,661,534,725,651,693.0,648.7,67.8022,49.7131
22,0.8400,4,Team B,243,367,291,467,267.0,465.0,65.5089,34.0387
22,0.8400,5,Team B,144,635,214,787,179.0,784.0,59.6234,53.0820
22,0.8400,6,Team B,1547,591,1606,680,1576.5,678.2,78.4068,56.2682
22,0.8400,7,Team B,937,466,987,574,962.0,571.8,73.4476,47.1224
22,0.8400,8,Team B,705,354,753,458,729.0,455.9,73.6695,37.0021
22,0.8400,9,Team B,1061,347,1103,436,1082.0,434.2,80.7068,37.9778
22,0.8400,11,Referee,474,337,515,427,494.5,425.2,70.6722,32.0240
22,0.8400,13,Team B,796,295,836,383,816.0,381.2,78.5606,30.1059
22,0.8400,14,Team B,1403,429,1442,520,1422.5,518.2,82.4484,46.8843
22,0.8400,15,Team B,1096,412,1140,497,1118.0,495.3,78.6463,43.1508
22,0.8400,12,Team B,1167,366,1200,435,1183.5,433.6,82.3920,39.1667
22,0.8400,28,Team B,840,312,879,393,859.5,391.4,78.9469,31.6053
22,0.8400,46,Staff/GK,1520,297,1553,371,1536.5,369.5,93.4028,35.5467
23,0.8800,1,Team A,1386,512,1443,630,1414.5,627.6,77.8988,53.1181
23,0.8800,2,Team A,1292,681,1360,825,1326.0,822.1,71.5938,60.3228
23,0.8800,3,Team B,657,537,724,657,690.5,654.6,67.6365,49.9636
23,0.8800,4,Team B,236,369,282,469,259.0,467.0,65.2736,34.2090
23,0.8800,5,Team B,133,641,204,792,168.5,789.0,59.4485,53.2426
23,0.8800,6,Team B,1541,594,1601,684,1571.0,682.2,78.2016,56.4045
23,0.8800,7,Team B,935,467,985,577,960.0,574.8,73.3097,47.2884
